,Survey wave (calendar quarter),Equivalent financial quarter,Site ID,Location,Survey date,Weather,Time,Period,Direction,Start hour,Start minute,Number of private cycles,Number of cycle hire bikes,Total cycles,date
167,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,15:45:00,Inter-peak (10:00-16:00),Northbound,15,45,18,2,20,2014-06-18 15:45:00
168,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,16:00:00,PM peak (16:00-19:00),Northbound,16,0,10,6,16,2014-06-18 16:00:00
169,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,16:15:00,PM peak (16:00-19:00),Northbound,16,15,17,2,19,2014-06-18 16:15:00
170,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,16:30:00,PM peak (16:00-19:00),Northbound,16,30,12,3,15,2014-06-18 16:30:00
171,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,16:45:00,PM peak (16:00-19:00),Northbound,16,45,15,5,20,2014-06-18 16:45:00
172,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,17:00:00,PM peak (16:00-19:00),Northbound,17,0,18,9,27,2014-06-18 17:00:00
173,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,17:15:00,PM peak (16:00-19:00),Northbound,17,15,30,5,35,2014-06-18 17:15:00
174,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,17:30:00,PM peak (16:00-19:00),Northbound,17,30,37,4,41,2014-06-18 17:30:00
175,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,17:45:00,PM peak (16:00-19:00),Northbound,17,45,33,6,39,2014-06-18 17:45:00
176,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,18:00:00,PM peak (16:00-19:00),Northbound,18,0,29,1,30,2014-06-18 18:00:00
177,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,18:15:00,PM peak (16:00-19:00),Northbound,18,15,42,7,49,2014-06-18 18:15:00
178,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,18:30:00,PM peak (16:00-19:00),Northbound,18,30,23,6,29,2014-06-18 18:30:00
179,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,18:45:00,PM peak (16:00-19:00),Northbound,18,45,25,2,27,2014-06-18 18:45:00
180,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,19:00:00,Evening (19:00-22:00),Northbound,19,0,18,4,22,2014-06-18 19:00:00
181,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,19:15:00,Evening (19:00-22:00),Northbound,19,15,23,2,25,2014-06-18 19:15:00
182,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,19:30:00,Evening (19:00-22:00),Northbound,19,30,17,5,22,2014-06-18 19:30:00
183,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,19:45:00,Evening (19:00-22:00),Northbound,19,45,15,8,23,2014-06-18 19:45:00
184,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,20:00:00,Evening (19:00-22:00),Northbound,20,0,18,3,21,2014-06-18 20:00:00
185,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,20:15:00,Evening (19:00-22:00),Northbound,20,15,14,2,16,2014-06-18 20:15:00
186,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,20:30:00,Evening (19:00-22:00),Northbound,20,30,20,4,24,2014-06-18 20:30:00
187,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,20:45:00,Evening (19:00-22:00),Northbound,20,45,15,5,20,2014-06-18 20:45:00
188,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,21:00:00,Evening (19:00-22:00),Northbound,21,0,11,6,17,2014-06-18 21:00:00
189,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,21:15:00,Evening (19:00-22:00),Northbound,21,15,5,1,6,2014-06-18 21:15:00
190,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,21:30:00,Evening (19:00-22:00),Northbound,21,30,6,2,8,2014-06-18 21:30:00
191,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,21:45:00,Evening (19:00-22:00),Northbound,21,45,4,1,5,2014-06-18 21:45:00
256,2014 Q3 (July-September),2014-15 Q2,CENCY001,Millbank (south of Thorney Street),2014-09-15,Dry,06:00:00,Early Morning (06:00-07:00),Northbound,6,0,10,0,10,2014-09-15 06:00:00
257,2014 Q3 (July-September),2014-15 Q2,CENCY001,Millbank (south of Thorney Street),2014-09-15,Dry,06:15:00,Early Morning (06:00-07:00),Northbound,6,15,21,1,22,2014-09-15 06:15:00
258,2014 Q3 (July-September),2014-15 Q2,CENCY001,Millbank (south of Thorney Street),2014-09-15,Dry,06:30:00,Early Morning (06:00-07:00),Northbound,6,30,51,5,56,2014-09-15 06:30:00
259,2014 Q3 (July-September),2014-15 Q2,CENCY001,Millbank (south of Thorney Street),2014-09-15,Dry,06:45:00,Early Morning (06:00-07:00),Northbound,6,45,65,3,68,2014-09-15 06:45:00
260,2014 Q3 (July-September),2014-15 Q2,CENCY001,Millbank (south of Thorney Street),2014-09-15,Dry,07:00:00,AM peak (07:00-10:00),Northbound,7,0,94,8,102,2014-09-15 07:00:00
